No,GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
1,485/A,Matiwala minor stream 1,"Moderate soil erosion of land on both sides (100m length). Recommend 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2. ",7.213649,80.788785,"107,000"
2,485/A,Matiwala minor stream 2,"Moderate soil erosion of land on both sides (200m length). Recommend 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2. ",7.213666,80.7888,"160,000"
3,485/B,Minor stream near Mr. Robert's house,"Moderate soil erosion of land on both sides (200m length). Recommend 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2. ",7.221433,80.787081,"160,000"
4,485/B,Minor stream near Podi Appu's house,"Moderate soil erosion of land on both sides (100m length). Recommend 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2. ",7.222937,80.787257,"107,000"
5,485/B,Demini Ara minor stream,"Soil erosion of land on both sides (over 2.5 km length). Recommend 1. Construct (2mx2mx1m) three SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.",7.222477,80.788987,"714,000"
6,485/B,Minor stream across the Badulu road,Moderate soil erosion of embankments (about 50m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established.,7.221305,80.7887,"27,000"
7,485/B,Minor sub stream flows to Demini Arawa,"Soil erosion of land on both sides (about 1.5 km length). Recommend 1. Construct (2mx2mx1m) four SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.",7.218759,80.787647,"774,000"
8,485/B,Minor stream flows from Bogala Kanda,"Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (2mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees / Kithul/ Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 600 m2.",7.221648,80.785513,"380,000"
9,488 /A,Bodhigolla minor stream 1,"Soil erosion of land on both sides (about 2.5km length). Recommendation 
1. Construct (2mx2mx1m) four SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.
3. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.",7.199153,80.793559,"1,041,000"
10,488 /A,Bodhigolla minor stream 2,"Soil erosion of land on both sides (about 2km length). Recommend 1. Construct (2mx2mx1m) three SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/ local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.",7.19843,80.793674,"981,000"
