"Table 5.31: Suitable species for restoration and home garden enrichment","","","",""
"Common name","Species","Family","Users","Suitable area"
"Hana","Furcraea foetida /Agave sp.","Aspagaraceae","Fiber/ Fire Prevention","Open ground/ Fire prone area"
"Karapinchcha","Bergera koenigii","Rutaceae","Condiment","buffer zone Below 900m"
"Yaki Naran","Atalantia ceylanica","Rutaceae","Medicinal/ Dry Leaves tea","buffer zone Below 900m"
"Heen Bovitiya","Osbeckia sp.","Melastomataceae","Medicinal Dry Leaves tea","Grasslands rocky area"
"Maliththan","Woodfordia fruticosa","Lythraceae","Medicinal","Grasslands rocky area/ banks"
"Beeriya","Litsea ovalifolia","Lauraceae","Wood/
firewood","Forest gardens/ Initial restorations process"
"Kudu daula","Neolitsea fuscata","Lauraceae","Wood/
firewood","Forest gardens/ Initial restorations process"
"Ketamilla","Dovyalis hebecarpa","Salicaceae","Fruit","Forest gardens/ Initial restorations process/ Grasslands"
"Kahata","Careya arborea","Lecythidaceae","Fruit Medicinal","Fire belts grasslands /pioneer stage restoration above 1200m"
"Koopi","Coffea arabica","Rubiaceae","Beverage","Home gardens"
"Sabukku","Grevillea robusta","Proteaceae","Nurse tree wood","Restoration sites home gardens below 1500m"
"Kenda","Macaranga spp.","Euphorbiaceae","Pioneer spp. for restoration","For restoration sites / Cardamom plantations outside of forests"
"Bu kenda","Mallotus
spp.","Euphorbiaceae","Pioneer spp. for restoration","For restoration sites / Cardamom plantations outside of forests"
"Nelli","Phyllanthus emblica","Phyllanthaceae","Medicinal","Grassland/fire-prone area above 1400m"
"Bora","Ligustrum robustum","Oleaceae","Medicinal/ Restoration intermediate stage/ wood","Below 1500m"
"Wana Sapu","Magnolia nilagirica","Magnoliaceae",,
"Wana Idala","Wendlandia bicuspidata","Rubiaceae","Medicinal/ Restoration Pioneer","Below 1500m"
"Toona","Toona ciliata","Meliaceae","Nurse tree-Restoration, animal repellent / Wood","Below 1500m"
"Sandel wood","Santalum album","Santalaceae","Medicinal /precious wood","Below 1000m"
"Ankenda","Acronychia pedunculata","Rutaceae","Medicinal Restoration / Fire Prevention","Open ground/ Fire prone area"
"Enasal (True cardamom)","Elettaria cardamomum","Zingibaraceae","Spice Medicinal High value crop","Home gardens/ Commercial forestry conversion"
